City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Brighton,GB,50.8284,-0.1395,57.81,91,55,1.43,broken clouds
208,Cascais,PT,38.6979,-9.4215,68.61,77,100,10.0,overcast clouds
209,Pokhara,NP,28.2333,83.9833,74.59,83,92,1.59,overcast clouds
210,Marawi,PH,7.9986,124.2928,79.65,60,78,6.51,broken clouds
211,Djambala,CG,-2.5447,14.7533,69.8,51,10,4.12,clear sky
212,Paamiut,GL,61.994,-49.6678,45.48,94,100,4.76,light rain
213,Hammerfest,NO,70.6634,23.6821,48.65,76,75,1.14,broken clouds
214,Kempen,DE,51.3667,6.4167,60.06,93,20,2.3,few clouds
215,Alexandria,EG,31.2156,29.9553,81.48,66,0,1.59,clear sky
216,Faya,SA,18.3851,42.4509,61.32,70,10,5.97,clear sky
217,Klaksvík,FO,62.2266,-6.589,50.92,89,100,5.68,overcast clouds
218,Nuquí,CO,5.7125,-77.2708,78.31,85,100,1.79,overcast clouds
219,Tessalit,ML,20.1986,1.0114,86.72,43,12,15.28,few clouds
220,Port Elizabeth,ZA,-33.918,25.5701,58.98,81,0,11.21,clear sky
221,Bereda,ES,43.2686,-7.5406,65.41,100,100,3.62,overcast clouds
222,Narasannapeta,IN,18.4167,84.05,82.26,70,98,5.32,overcast clouds
223,Turukhansk,RU,65.8167,87.9833,65.91,71,17,10.16,few clouds
224,Port-Cartier,CA,50.0334,-66.8654,60.93,61,1,14.14,clear sky
225,Bonthe,SL,7.5264,-12.505,76.28,78,67,5.35,broken clouds
226,Kibre Mengist,ET,5.8833,38.9833,60.37,77,100,3.6,overcast clouds
227,Leh,IN,34.1667,77.5833,61.95,51,28,4.7,scattered clouds
228,Bāneh,IR,35.9975,45.8853,66.45,58,9,7.16,clear sky
229,Raja,SS,8.4596,25.678,67.05,97,100,3.65,overcast clouds
230,Natal,BR,-5.795,-35.2094,74.05,88,0,6.91,clear sky
231,Ayagoz,KZ,47.9714,80.4392,69.73,46,40,14.85,scattered clouds
232,Abu Dhabi,AE,24.4667,54.3667,89.71,66,0,0.0,clear sky
233,Sur,OM,22.5667,59.5289,86.38,62,5,5.95,clear sky
234,Yauya,PE,-8.9833,-77.3,47.82,72,9,6.15,clear sky
235,Calabozo,VE,8.9242,-67.4293,71.06,96,91,0.98,overcast clouds
236,Ilinge,ZA,-31.9768,27.0427,45.86,26,0,4.81,clear sky
237,Santa Maria,BR,-29.6842,-53.8069,48.83,84,3,5.1,clear sky
238,Iquitos,PE,-3.7481,-73.2472,73.44,83,20,0.0,few clouds
239,Samaná,DO,19.2056,-69.3369,76.87,90,69,6.67,broken clouds
240,Biltine,TD,14.5333,20.9167,76.87,72,100,11.14,overcast clouds
241,El Tigre,VE,8.8875,-64.2454,70.86,91,49,5.7,scattered clouds
242,Trairi,BR,-3.2778,-39.2689,79.05,78,100,8.1,overcast clouds
243,Sheboygan,US,43.7333,-87.9334,75.18,69,1,1.01,clear sky
244,Sukhumi,GE,43.0033,41.0153,72.5,89,95,5.64,overcast clouds
245,Awjilah,LY,29.1081,21.2869,88.09,24,0,8.66,clear sky
246,Lubao,PH,14.9167,120.55,86.14,83,94,16.2,light rain
247,Benguela,AO,-12.5763,13.4055,68.63,90,19,7.05,few clouds
248,Iralaya,HN,15.0,-83.2333,81.32,76,100,11.12,overcast clouds
249,Olafsvik,IS,64.8945,-23.7142,53.56,91,95,8.16,overcast clouds
250,Kabinda,CD,-6.1333,24.4833,67.41,40,0,3.6,clear sky
251,Jumla,NP,29.2747,82.1838,64.8,89,100,0.56,heavy intensity rain
252,Mānsa,IN,29.9833,75.3833,82.81,74,91,7.09,overcast clouds
253,Tataouine,TN,32.9297,10.4518,82.17,44,0,1.7,clear sky
254,Kreminna,UA,49.0495,38.2179,64.38,83,14,4.36,few clouds
255,Vila Franca do Campo,PT,37.7167,-25.4333,72.01,91,19,3.62,few clouds
256,Palekastro,GR,35.2,26.25,83.01,53,0,17.09,clear sky
257,Springdale,US,36.1867,-94.1288,78.91,61,1,3.44,clear sky
258,Nuuk,GL,64.1835,-51.7216,50.61,81,75,16.11,broken clouds
259,Villacarrillo,ES,38.1156,-3.0848,70.05,30,100,2.91,overcast clouds
260,Jacmel,HT,18.2342,-72.5347,82.24,84,99,2.59,overcast clouds
261,Mariinsk,RU,56.2139,87.7472,62.01,89,100,1.77,overcast clouds
262,Quartucciu,IT,39.2519,9.1794,84.07,45,0,9.22,clear sky
263,Kiryat Gat,IL,31.61,34.7642,83.39,40,0,5.48,clear sky
264,Nara,JP,34.6851,135.8049,88.97,59,80,2.62,broken clouds
265,Okahandja,NA,-21.9833,16.9167,58.84,39,3,6.13,clear sky
266,Somers Point,US,39.3176,-74.5946,70.99,80,1,1.01,clear sky
267,São João da Barra,BR,-21.6403,-41.0511,65.55,86,75,11.83,broken clouds
268,Lebu,CL,-37.6167,-73.65,50.52,91,11,9.71,few clouds
269,Arona,ES,28.0996,-16.681,65.32,76,40,11.5,scattered clouds
