City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Manoel Urbano,BR,-8.8389,-69.2597,87.33,27,50,2.95,scattered clouds
302,Olafsvik,IS,64.8945,-23.7142,53.92,92,99,1.12,overcast clouds
303,Havre-St-Pierre,CA,50.2334,-63.5986,59.36,82,90,18.41,overcast clouds
304,Rocha,UY,-34.4833,-54.3333,52.81,82,5,6.02,clear sky
305,Reshetylivka,UA,49.565,34.0782,76.08,46,9,8.08,clear sky
306,Nantucket,US,41.2835,-70.0995,77.34,68,1,9.22,clear sky
307,Wilmington,US,34.2257,-77.9447,92.98,71,20,10.36,few clouds
308,Kudahuvadhoo,MV,2.6708,72.8944,82.53,70,100,5.93,overcast clouds
309,Cayenne,GF,4.9333,-52.3333,87.84,77,20,4.0,few clouds
310,Cherdyn',RU,60.403,56.4787,53.37,95,0,4.27,clear sky
311,Rundu,NA,-17.9333,19.7667,59.76,36,0,7.05,clear sky
312,Mogadishu,SO,2.0371,45.3438,75.83,86,63,20.02,light rain
313,Kalāleh,IR,37.3807,55.4916,78.96,63,0,3.98,clear sky
314,Krutinka,RU,56.0055,71.5113,61.03,96,47,8.16,moderate rain
315,Bestöbe,KZ,52.4994,73.0975,72.59,56,7,9.44,clear sky
316,Pombas,CV,17.1503,-25.0201,76.78,83,70,9.08,broken clouds
317,Taszár,HU,46.3747,17.9059,64.2,86,1,6.98,clear sky
318,Contai,IN,21.7786,87.7536,82.71,81,100,10.6,overcast clouds
319,Hearst,CA,49.6835,-83.6665,64.65,37,21,9.33,few clouds
320,Raisen,IN,23.3333,77.8,71.6,90,100,19.13,moderate rain
321,Kismayo,SO,-0.3582,42.5454,75.49,84,38,17.63,light rain
322,Yaguajay,CU,22.3272,-79.2378,86.99,68,55,12.39,broken clouds
323,Maridi,SS,4.9158,29.4742,67.68,98,84,4.85,light rain
324,Timrå,SE,62.487,17.3257,61.68,61,90,2.3,overcast clouds
325,Athens,GR,37.9795,23.7162,92.12,47,0,1.01,clear sky
326,Leningradskiy,RU,69.3833,178.4167,35.65,96,100,17.47,overcast clouds
327,Talant,FR,47.3369,5.0089,59.61,88,15,4.61,few clouds
328,Igrim,RU,63.1906,64.4162,57.83,94,88,3.27,light rain
329,Port Shepstone,ZA,-30.7414,30.455,67.32,42,100,7.54,overcast clouds
330,Springbok,ZA,-29.6643,17.8865,54.68,29,15,2.15,few clouds
331,Omboué,GA,-1.5746,9.2618,75.02,83,98,9.06,overcast clouds
332,Paamiut,GL,61.994,-49.6678,47.95,89,100,6.13,light rain
333,Quelimane,MZ,-17.8786,36.8883,69.75,78,0,4.61,clear sky
334,Kiruna,SE,67.8557,20.2251,45.52,71,90,6.91,overcast clouds
335,Pachino,IT,36.7186,15.0907,89.6,53,0,10.18,clear sky
336,Ferme-Neuve,CA,46.7001,-75.4493,65.98,67,100,2.66,overcast clouds
337,Ilesha,NG,7.1371,5.2583,71.56,97,100,3.11,light rain
338,Trairi,BR,-3.2778,-39.2689,81.39,66,99,12.03,overcast clouds
339,Havelock,US,34.8791,-76.9013,89.58,87,100,10.0,overcast clouds
340,Alghero,IT,40.5589,8.3181,71.69,68,0,2.3,clear sky
341,Impfondo,CG,1.6381,18.0667,75.72,74,100,2.53,overcast clouds
342,Turukhansk,RU,65.8167,87.9833,53.78,85,30,7.34,scattered clouds
343,Port Victoria,KE,0.0939,33.9756,70.61,65,80,4.16,broken clouds
344,Belmonte,BR,-15.8631,-38.8828,71.6,75,80,15.08,broken clouds
