City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Maniitsoq,GL,48.07,few clouds,65.4167,-52.9,Hotel Heilmann Lyberth
235,Uppsala County,SE,64.42,overcast clouds,60.0,17.75,Läderskål
236,Teno,CL,54.95,clear sky,-34.8667,-71.1833,La orilla de auquinco
237,Saint-François,FR,62.04,scattered clouds,46.4154,3.9054,Manoir Du Bonheur
238,Sistranda,NO,52.9,overcast clouds,63.7256,8.834,Hotell Frøya
239,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
240,Oranjemund,,58.35,clear sky,-28.55,16.4333,The Fisherman's Cove
241,Aranzazu,CO,70.77,scattered clouds,5.2712,-75.4904,Hotel Faro del Norte
242,Mercedes,AR,63.03,clear sky,-34.6515,-59.4307,Posada del Inti Centro
245,Burgersdorp,ZA,47.97,clear sky,-30.9977,26.3286,DeKat Self Catering
249,Belyy Yar,RU,57.09,clear sky,53.6039,91.3903,Pasportnyy Stol
251,La Plata,AR,59.86,clear sky,-34.9215,-57.9545,Hotel Corregidor
254,Entebbe,UG,71.92,few clouds,0.0644,32.4469,WB APARTMENT
256,Sept-Îles,CA,68.52,broken clouds,50.2001,-66.3821,Comfort Inn
258,Clarence Town,AU,55.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
259,Peniche,PT,71.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
260,Kristinehamn,SE,61.57,broken clouds,59.3098,14.1081,Hotell Marieberg
262,Chaykovskiy,RU,64.81,broken clouds,56.7686,54.1148,Гостеприимные квартиры на Ленина 40
265,Miandrivazo,MG,73.18,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
269,Yeola,IN,73.89,overcast clouds,20.0333,74.4833,Prakash Watch
272,Arona,ES,69.03,clear sky,28.0996,-16.681,Paradise Court
273,Brae,GB,49.91,overcast clouds,60.3964,-1.353,Busta House Hotel
275,Nuuk,GL,59.61,few clouds,64.1835,-51.7216,Vandrehuset
277,Imbituba,BR,66.09,light rain,-28.24,-48.6703,Praia Hotel Imbituba
279,Storforshei,NO,49.78,scattered clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
280,Sovetskiy,RU,56.25,clear sky,61.3614,63.5842,Apartment on Kievskaya 29
281,Rabo de Peixe,PT,71.11,broken clouds,37.8,-25.5833,Quinta das Giestas
287,Menongue,AO,57.52,clear sky,-14.6585,17.691,Ritz Lauca
288,Vestmannaeyjar,IS,52.79,mist,63.4427,-20.2734,Glamping & Camping
291,Pisco,PE,66.25,haze,-13.7,-76.2167,Hotel San Isidro Oficial
294,Marovoay,MG,71.74,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
295,Batouri,CM,68.5,moderate rain,4.4333,14.3667,Hotel Hollywood
302,Olafsvik,IS,53.92,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
303,Havre-St-Pierre,CA,59.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
304,Rocha,UY,52.81,clear sky,-34.4833,-54.3333,Beleza Pura B&B
